Public	offlineDownloadTools	GET	/api/public/offline_download_tools	List available offline download tools	no
Public	ping	GET	/ping	Health check	no
Public	publicSettings	GET	/api/public/settings	Get public settings	no
SSHKey	addMySSHKey	POST	/api/me/sshkey/add	Add SSH public key	yes
SSHKey	deleteMySSHKey	POST	/api/me/sshkey/delete	Delete SSH public key	no
SSHKey	listMySSHKeys	GET	/api/me/sshkey/list	List my SSH public keys	no
Sharing	createSharing	POST	/api/share/create	Create a new share	yes
Sharing	deleteSharing	POST	/api/share/delete	Delete a share	no
Sharing	disableSharing	POST	/api/share/disable	Disable a share	no
Sharing	enableSharing	POST	/api/share/enable	Enable a share	no
Sharing	getSharing	GET	/api/share/get	Get share details	no
Sharing	listSharings	POST	/api/share/list	List user's shares	yes
Sharing	updateSharing	POST	/api/share/update	Update share settings	yes
